Time,Row,Column,SitesChecked,CohortsKilled,Severity,SitesEventchap,SitesEventoaks,SitesEventcss,BurnedSites,
45, 77, 216, 1138, 1623, 3.85325131810193, 902, 11, 225, 1138, 
45, 208, 231, 836, 1448, 4.19258373205742, 760, 55, 21, 836, 
45, 209, 42, 538, 1039, 4.817843866171, 504, 20, 14, 538, 
46, 136, 256, 122, 214, 4.44262295081967, 111, 0, 11, 122, 
46, 218, 164, 612, 991, 4.97058823529412, 592, 0, 20, 612, 
46, 234, 8, 152, 911, 5, 111, 0, 41, 152, 
47, 3, 113, 1492, 1799, 3.28150134048257, 1426, 0, 66, 1492, 
47, 15, 266, 576, 3011, 3.97395833333333, 197, 324, 55, 576, 
47, 123, 137, 3499, 4246, 4.02743641040297, 3143, 194, 162, 3499, 
47, 155, 247, 128, 214, 5, 127, 0, 1, 128, 
47, 228, 12, 483, 6452, 4.76811594202899, 379, 10, 94, 483, 
47, 243, 293, 3106, 5017, 4.48003863490019, 2933, 17, 156, 3106, 
48, 93, 221, 1, 1, 1, 1, 0, 0, 1, 
48, 142, 148, 1, 1, 3, 1, 0, 0, 1, 
48, 151, 238, 132, 211, 4.96969696969697, 132, 0, 0, 132, 
48, 156, 138, 212, 179, 3.10377358490566, 205, 7, 0, 212, 
48, 178, 198, 2575, 3160, 3.41165048543689, 2454, 67, 54, 2575, 
48, 215, 182, 511, 725, 4.44031311154599, 441, 15, 55, 511, 
48, 243, 78, 1055, 2085, 4.25118483412322, 895, 25, 135, 1055, 
48, 280, 159, 577, 2609, 3.88214904679376, 462, 51, 64, 577, 
48, 280, 176, 1675, 2336, 3.73253731343284, 1565, 55, 55, 1675, 
49, 12, 75, 1558, 2145, 4.00962772785623, 1551, 0, 7, 1558, 
49, 81, 214, 202, 245, 3.1039603960396, 146, 22, 34, 202, 
49, 83, 310, 326, 1280, 4.91411042944785, 119, 18, 189, 326, 
49, 154, 306, 370, 616, 3.61081081081081, 336, 0, 34, 370, 
49, 160, 84, 1032, 2895, 4.60077519379845, 832, 145, 55, 1032, 
49, 271, 348, 4129, 15868, 4.00460159844999, 3400, 300, 429, 4129, 
50, 48, 304, 366, 3297, 4.01639344262295, 93, 241, 32, 366, 
50, 91, 341, 288, 2069, 4.03819444444444, 163, 55, 70, 288, 
